"Income","Income Percentile","Income Tax with Bernie","Social Security Tax with Bernie","Medicare Tax with Bernie","Medicare-for-all Tax with Bernie","Family Leave Tax with Bernie","Healthcare Premiums with Bernie","Healthcare Expenses with Bernie","Total Tax with Bernie","Effective Tax Rate with Bernie","Income Tax at Present","Social Security Tax at Present","Medicare Tax at Present","Medicare-for-all Tax at Present","Family Leave Tax at Present","Healthcare Premiums at Present","Healthcare Expenses at Present","Total Tax at Present","Effective Tax Rate at Present"
224000,0.995518797931402,54127.25,7347,3464,4928,227.4,0,0,70093.65,0.312918080357143,54127.25,7347,3464,0,0,1071,1318,67327.25,0.300568080357143
226000,0.995621315233098,54787.25,7347,3511,4972,227.4,0,0,70844.65,0.313471902654867,54787.25,7347,3511,0,0,1071,1318,68034.25,0.301036504424779
228000,0.995723832534793,55447.25,7347,3558,5016,227.4,0,0,71595.65,0.31401600877193,55447.25,7347,3558,0,0,1071,1318,68741.25,0.301496710526316
230000,0.995826349836489,56107.25,7347,3605,5060,227.4,0,0,72346.65,0.314550652173913,56107.25,7347,3605,0,0,1071,1318,69448.25,0.301948913043478
232000,0.995928867138185,56767.25,7347,3652,5104,227.4,0,0,73097.65,0.315076077586207,56767.25,7347,3652,0,0,1071,1318,70155.25,0.302393318965517
234000,0.996031384439881,57427.25,7347,3699,5148,227.4,0,0,73848.65,0.315592521367521,57427.25,7347,3699,0,0,1071,1318,70862.25,0.302830128205128
236000,0.996133901741577,58087.25,7347,3746,5192,227.4,0,0,74599.65,0.316100211864407,58087.25,7347,3746,0,0,1071,1318,71569.25,0.303259533898305
238000,0.996236419043273,58747.25,7347,3793,5236,227.4,0,0,75350.65,0.316599369747899,58747.25,7347,3793,0,0,1071,1318,72276.25,0.303681722689076
240000,0.996338936344969,59407.25,7347,3840,5280,227.4,0,0,76101.65,0.317090208333333,59407.25,7347,3840,0,0,1071,1318,72983.25,0.304096875
242000,0.996441453646665,60067.25,7347,3887,5324,227.4,0,0,76852.65,0.317572933884297,60067.25,7347,3887,0,0,1071,1318,73690.25,0.304505165289256
244000,0.996543970948361,60727.25,7347,3934,5368,227.4,0,0,77603.65,0.318047745901639,60727.25,7347,3934,0,0,1071,1318,74397.25,0.304906762295082
246000,0.996646488250057,61387.25,7347,3981,5412,227.4,0,0,78354.65,0.318514837398374,61387.25,7347,3981,0,0,1071,1318,75104.25,0.305301829268293
248000,0.996749005551753,62047.25,7347,4028,5456,227.4,0,0,79105.65,0.31897439516129,62047.25,7347,4028,0,0,1071,1318,75811.25,0.305690524193548
250000,0.996851489783555,62707.25,7347,4075,5500,227.4,0,0,79856.65,0.3194266,62707.25,7347,4075,0,0,1071,1318,76518.25,0.306073
252000,0.996887867297581,63367.25,15624,4122,5544,227.4,0,0,88884.65,0.352716865079365,63367.25,7347,4122,0,0,1071,1318,77225.25,0.306449404761905
254000,0.996924244811607,64027.25,15748,4169,5588,227.4,0,0,89759.65,0.353384448818898,64027.25,7347,4169,0,0,1071,1318,77932.25,0.306819881889764
256000,0.996960622325632,64687.25,15872,4216,5632,227.4,0,0,90634.65,0.3540416015625,64687.25,7347,4216,0,0,1071,1318,78639.25,0.3071845703125
258000,0.996996999839658,65347.25,15996,4263,5676,227.4,0,0,91509.65,0.354688565891473,65347.25,7347,4263,0,0,1071,1318,79346.25,0.307543604651163
